Job Title,Company Name,Location,Experience,Salary
Business Analyst,ABC Tech,Delhi,3-5 years,₹15-20 LPA
Java Developer,Visionary Apps,Bangalore,7-10 years,₹20-30 LPA
UI/UX Designer,CloudWorks,Mumbai,3-5 years,₹3-5 LPA
Full Stack Developer,Bright Future Pvt Ltd,Pune,7-10 years,₹8-12 LPA
Machine Learning Engineer,NeuralNet Systems,Chennai,0-1 years,₹15-20 LPA
React Developer,XYZ Analytics,Mumbai,1-2 years,₹8-12 LPA
UI/UX Designer,DataSoft,Mumbai,3-5 years,₹5-8 LPA
Project Manager,Innova Labs,Delhi,2-4 years,₹3-5 LPA
Business Analyst,AlgoGenie,Mumbai,1-2 years,₹8-12 LPA
Machine Learning Engineer,TechCorp,Chennai,3-5 years,₹8-12 LPA
Software Tester,XYZ Analytics,Remote,5-7 years,₹5-8 LPA
Backend Engineer,NextGen AI,Pune,4-6 years,₹10-15 LPA
Frontend Developer,TechVerse,Mumbai,4-6 years,₹6-10 LPA
Backend Engineer,Innova Labs,Mumbai,2-4 years,₹6-10 LPA
Cloud Architect,DataSoft,Mumbai,4-6 years,₹10-15 LPA
Backend Engineer,TechCorp,Hyderabad,0-1 years,₹15-20 LPA
Backend Engineer,NextGen AI,Bangalore,7-10 years,₹6-10 LPA
Data Scientist,NeuralNet Systems,Pune,7-10 years,₹15-20 LPA
Business Analyst,CloudWorks,Mumbai,1-2 years,₹3-5 LPA
Software Tester,Visionary Apps,Bangalore,1-2 years,₹6-10 LPA
Data Scientist,TechCorp,Remote,4-6 years,₹8-12 LPA
Project Manager,TechCorp,Remote,5-7 years,₹5-8 LPA
Business Analyst,CodeCrafters,Mumbai,4-6 years,₹8-12 LPA
Business Analyst,DataSoft,Hyderabad,5-7 years,₹20-30 LPA
AI Engineer,Reactify,Chennai,0-1 years,₹15-20 LPA
Python Developer,Reactify,Hyderabad,0-1 years,₹20-30 LPA
Project Manager,CloudWorks,Pune,2-4 years,₹5-8 LPA
Java Developer,DataSoft,Remote,0-1 years,₹15-20 LPA
Business Analyst,NeuralNet Systems,Bangalore,5-7 years,₹6-10 LPA
Cloud Architect,TechCorp,Delhi,0-1 years,₹20-30 LPA
Software Tester,Bright Future Pvt Ltd,Bangalore,0-1 years,₹6-10 LPA
Frontend Developer,CodeCrafters,Pune,7-10 years,₹8-12 LPA
Python Developer,CodeCrafters,Delhi,2-4 years,₹8-12 LPA
Data Analyst,CloudWorks,Hyderabad,0-1 years,₹4-6 LPA
React Developer,Bright Future Pvt Ltd,Pune,7-10 years,₹10-15 LPA
Project Manager,CodeCrafters,Remote,1-2 years,₹20-30 LPA
UI/UX Designer,Visionary Apps,Pune,7-10 years,₹10-15 LPA
Backend Engineer,TechVerse,Hyderabad,2-4 years,₹3-5 LPA
Data Analyst,CloudWorks,Bangalore,0-1 years,₹15-20 LPA
Software Tester,NeuralNet Systems,Delhi,4-6 years,₹20-30 LPA
UI/UX Designer,TechVerse,Hyderabad,7-10 years,₹3-5 LPA
AI Engineer,TechVerse,Bangalore,3-5 years,₹6-10 LPA
React Developer,CloudWorks,Hyderabad,1-2 years,₹15-20 LPA
AI Engineer,Innova Labs,Hyderabad,4-6 years,₹20-30 LPA
Cloud Architect,AlgoGenie,Pune,4-6 years,₹4-6 LPA
Machine Learning Engineer,TechCorp,Remote,0-1 years,₹5-8 LPA
Machine Learning Engineer,TechCorp,Chennai,2-4 years,₹20-30 LPA
Data Analyst,Innova Labs,Mumbai,0-1 years,₹20-30 LPA
Java Developer,TechCorp,Chennai,0-1 years,₹6-10 LPA
Data Analyst,DataSoft,Pune,5-7 years,₹15-20 LPA
React Developer,NeuralNet Systems,Chennai,2-4 years,₹10-15 LPA
Business Analyst,XYZ Analytics,Remote,7-10 years,₹10-15 LPA
Data Scientist,DataSoft,Bangalore,3-5 years,₹3-5 LPA
Data Analyst,XYZ Analytics,Bangalore,4-6 years,₹5-8 LPA
Java Developer,AlgoGenie,Hyderabad,0-1 years,₹6-10 LPA
Business Analyst,TechCorp,Delhi,7-10 years,₹10-15 LPA
React Developer,DataSoft,Delhi,5-7 years,₹3-5 LPA
DevOps Engineer,Bright Future Pvt Ltd,Chennai,2-4 years,₹5-8 LPA
Cloud Architect,AlgoGenie,Bangalore,5-7 years,₹15-20 LPA
Cloud Architect,Bright Future Pvt Ltd,Delhi,2-4 years,₹5-8 LPA
Data Scientist,TechCorp,Bangalore,3-5 years,₹3-5 LPA
Python Developer,Visionary Apps,Hyderabad,4-6 years,₹5-8 LPA
React Developer,CloudWorks,Mumbai,3-5 years,₹6-10 LPA
Python Developer,NeuralNet Systems,Mumbai,4-6 years,₹6-10 LPA
DevOps Engineer,ABC Tech,Hyderabad,4-6 years,₹10-15 LPA
Java Developer,Visionary Apps,Chennai,3-5 years,₹6-10 LPA
Data Scientist,XYZ Analytics,Delhi,3-5 years,₹6-10 LPA
Java Developer,Innova Labs,Mumbai,2-4 years,₹6-10 LPA
Data Scientist,AlgoGenie,Delhi,1-2 years,₹20-30 LPA
UI/UX Designer,TechVerse,Pune,3-5 years,₹3-5 LPA
Cloud Architect,NeuralNet Systems,Remote,4-6 years,₹5-8 LPA
Python Developer,TechCorp,Chennai,3-5 years,₹15-20 LPA
AI Engineer,CloudWorks,Delhi,0-1 years,₹5-8 LPA
React Developer,TechCorp,Bangalore,7-10 years,₹10-15 LPA
Project Manager,CloudWorks,Delhi,3-5 years,₹5-8 LPA
Data Scientist,CloudWorks,Remote,0-1 years,₹6-10 LPA
Machine Learning Engineer,DataSoft,Chennai,0-1 years,₹3-5 LPA
Data Scientist,Web Solutions,Bangalore,3-5 years,₹6-10 LPA
Cloud Architect,NeuralNet Systems,Remote,1-2 years,₹6-10 LPA
Frontend Developer,DataSoft,Pune,4-6 years,₹15-20 LPA
Backend Engineer,Innova Labs,Delhi,3-5 years,₹6-10 LPA
Data Analyst,CodeCrafters,Hyderabad,5-7 years,₹15-20 LPA
Project Manager,Reactify,Mumbai,5-7 years,₹6-10 LPA
AI Engineer,NextGen AI,Delhi,5-7 years,₹4-6 LPA
Cloud Architect,XYZ Analytics,Pune,3-5 years,₹20-30 LPA
Full Stack Developer,ABC Tech,Delhi,3-5 years,₹10-15 LPA
Java Developer,TechCorp,Hyderabad,1-2 years,₹6-10 LPA
React Developer,CloudWorks,Remote,1-2 years,₹10-15 LPA
Data Analyst,TechVerse,Chennai,3-5 years,₹10-15 LPA
Cloud Architect,TechVerse,Pune,4-6 years,₹15-20 LPA
Software Tester,NeuralNet Systems,Pune,5-7 years,₹10-15 LPA
Data Analyst,AlgoGenie,Hyderabad,2-4 years,₹10-15 LPA
Full Stack Developer,CodeCrafters,Remote,5-7 years,₹15-20 LPA
Data Scientist,DataSoft,Pune,5-7 years,₹15-20 LPA
DevOps Engineer,ABC Tech,Pune,5-7 years,₹8-12 LPA
Backend Engineer,DataSoft,Delhi,1-2 years,₹6-10 LPA
Project Manager,CloudWorks,Bangalore,2-4 years,₹8-12 LPA
AI Engineer,NeuralNet Systems,Delhi,0-1 years,₹15-20 LPA
Data Scientist,Bright Future Pvt Ltd,Remote,0-1 years,₹10-15 LPA
Java Developer,Visionary Apps,Hyderabad,3-5 years,₹20-30 LPA
Backend Engineer,Web Solutions,Pune,4-6 years,₹10-15 LPA
Machine Learning Engineer,Bright Future Pvt Ltd,Mumbai,7-10 years,₹4-6 LPA
Python Developer,ABC Tech,Chennai,5-7 years,₹10-15 LPA
Data Scientist,Visionary Apps,Chennai,0-1 years,₹8-12 LPA
DevOps Engineer,Web Solutions,Pune,7-10 years,₹8-12 LPA
React Developer,AlgoGenie,Pune,5-7 years,₹8-12 LPA
Cloud Architect,NextGen AI,Pune,3-5 years,₹3-5 LPA
Business Analyst,CloudWorks,Hyderabad,7-10 years,₹4-6 LPA
React Developer,TechVerse,Chennai,5-7 years,₹3-5 LPA
Project Manager,Bright Future Pvt Ltd,Pune,0-1 years,₹6-10 LPA
Data Analyst,Reactify,Bangalore,3-5 years,₹15-20 LPA
Data Scientist,CloudWorks,Mumbai,0-1 years,₹3-5 LPA
Python Developer,DataSoft,Bangalore,3-5 years,₹8-12 LPA
UI/UX Designer,Reactify,Delhi,3-5 years,₹8-12 LPA
UI/UX Designer,TechVerse,Bangalore,7-10 years,₹20-30 LPA
React Developer,AlgoGenie,Remote,7-10 years,₹20-30 LPA
Machine Learning Engineer,XYZ Analytics,Remote,3-5 years,₹10-15 LPA
Frontend Developer,DataSoft,Bangalore,1-2 years,₹20-30 LPA
Frontend Developer,TechVerse,Remote,7-10 years,₹20-30 LPA
Machine Learning Engineer,DataSoft,Delhi,3-5 years,₹15-20 LPA
React Developer,XYZ Analytics,Bangalore,3-5 years,₹15-20 LPA
Data Analyst,Visionary Apps,Hyderabad,5-7 years,₹15-20 LPA
React Developer,Visionary Apps,Bangalore,7-10 years,₹10-15 LPA
Business Analyst,Reactify,Mumbai,2-4 years,₹10-15 LPA
Frontend Developer,Reactify,Bangalore,0-1 years,₹3-5 LPA
Python Developer,Visionary Apps,Bangalore,1-2 years,₹20-30 LPA
Cloud Architect,Innova Labs,Chennai,7-10 years,₹10-15 LPA
React Developer,CodeCrafters,Delhi,2-4 years,₹15-20 LPA
Python Developer,Innova Labs,Chennai,3-5 years,₹5-8 LPA
UI/UX Designer,CodeCrafters,Bangalore,3-5 years,₹10-15 LPA
AI Engineer,TechCorp,Mumbai,5-7 years,₹10-15 LPA
Backend Engineer,Visionary Apps,Chennai,5-7 years,₹20-30 LPA
Python Developer,TechCorp,Delhi,4-6 years,₹8-12 LPA
Machine Learning Engineer,CodeCrafters,Bangalore,2-4 years,₹3-5 LPA
Project Manager,CodeCrafters,Hyderabad,7-10 years,₹3-5 LPA
AI Engineer,Web Solutions,Remote,5-7 years,₹4-6 LPA
Backend Engineer,Reactify,Mumbai,0-1 years,₹4-6 LPA
